QD,LT,MQ,VALOR_MQ,VALOR_BASE,ENTRADA,SITUACAO
1,1,"400,00","115,00","46.000,00","1.900,00",B
1,3,"400,00","115,00","46.000,00","1.900,00",B
1,4,"400,00","115,00","46.000,00","1.900,00",B
1,7,"400,00","115,00","46.000,00","1.900,00",B
1,8,"400,00","115,00","46.000,00","1.900,00",B
2,1,"259,00","115,00","29.785,00","3.000,00",B
2,2,"269,00","115,00","30.935,00","3.000,00",B
2,3,"290,00","115,00","33.350,00","3.000,00",B
2,4,"300,00","110,00","33.000,00","1.900,00",B
2,6,"697,00","110,00","76.670,00","1.900,00",B
2,7,"424,00","115,00","48.760,00","3.000,00",B
2,8,"739,00","115,00","84.985,00","3.000,00",B
2,12,"771,00","115,00","88.665,00","3.000,00",B
2,13,"772,00","115,00","88.780,00","3.000,00",B
2,16,"703,00","115,00","80.845,00","3.000,00",B
3,1,"935,00","115,00","107.525,00","3.000,00",B
3,2,"1.042,00","115,00","119.830,00","3.000,00",B
3,3,"894,00","115,00","102.810,00","3.000,00",B
3,6,"943,00","115,00","108.445,00","3.000,00",B
3,9,"963,00","115,00","110.745,00","3.000,00",B
3,10,"1.009,00","115,00","116.035,00","3.000,00",B
3,15,"1.128,00","115,00","129.720,00","3.000,00",B
3,16,"1.134,00","115,00","130.410,00","3.000,00",B
3,17,"1.184,00","115,00","136.160,00","3.000,00",B
3,19,"1.320,00","99,00","130.680,00","3.000,00",B
3,20,"1.422,00","99,00","140.778,00","1.900,00",B
3,27,"600,00","70,00","42.000,00","1.900,00",B
3,30,"602,00","70,00","42.140,00","1.900,00",B
3,31,"602,00","70,00","42.140,00","1.900,00",B
3,32,"603,00","70,00","42.210,00","1.900,00",B
3,35,"604,00","70,00","42.280,00","1.900,00",B
3,36,"614,00","115,00","70.610,00","3.000,00",B
3,39,"542,00","115,00","62.330,00","3.000,00",B
3,40,"425,00","115,00","48.875,00","3.000,00",B
4,1,"400,00","74,98","29.990,00","1.900,00",B
4,2,"400,00","74,98","29.990,00","1.900,00",B
4,3,"400,00","74,98","29.990,00","1.900,00",B
4,4,"400,00","74,98","29.990,00","1.900,00",B
4,9,"400,00","74,98","29.990,00","1.900,00",B
4,10,"400,00","74,98","29.990,00","1.900,00",B
5,1,"400,00","74,98","29.990,00","1.900,00",B
5,2,"400,00","74,98","29.990,00","1.900,00",B
5,3,"400,00","74,98","29.990,00","1.900,00",B
5,4,"400,00","74,98","29.990,00","1.900,00",B
6,1,"350,00","77,11","26.990,00","1.900,00",B
6,2,"350,00","77,11","26.990,00","1.900,00",B
6,9,"400,00","74,98","29.990,00","1.900,00",B
6,10,"400,00","74,98","29.990,00","1.900,00",B
7,8,"350,00","77,11","26.990,00","1.900,00",B
7,9,"350,00","77,11","26.990,00","1.900,00",B
7,10,"339,00","110,00","37.290,00","1.900,00",B
7,11,"338,00","110,00","37.180,00","1.900,00",B
7,22,"350,00","77,11","26.990,00","1.900,00",B
7,23,"350,00","77,11","26.990,00","1.900,00",B
8,1,"400,00","74,98","29.990,00","1.900,00",B
8,2,"400,00","74,98","29.990,00","1.900,00",B
8,7,"400,00","74,98","29.990,00","1.900,00",B
8,8,"400,00","74,98","29.990,00","1.900,00",B
9,1,"400,00","74,98","29.990,00","1.900,00",B
9,2,"400,00","74,98","29.990,00","1.900,00",B
9,10,"334,00","110,00","36.740,00","1.900,00",B
9,11,"334,00","110,00","36.740,00","1.900,00",B
9,12,"333,00","110,00","36.630,00","1.900,00",B
10,16,"350,00","77,11","26.990,00","1.900,00",B
10,17,"350,00","56,86","19.900,00","1.900,00",B
10,18,"350,00","77,11","26.990,00","1.900,00",B
10,19,"350,00","56,86","19.900,00","1.900,00",B
10,20,"350,00","77,11","26.990,00","1.900,00",B
11,4,"350,00","56,86","19.900,00","1.900,00",B
11,5,"350,00","77,11","26.990,00","1.900,00",B
11,21,"350,00","56,86","19.900,00","1.900,00",B
11,22,"350,00","77,11","26.990,00","1.900,00",B
2,5,"300,00","110,00","33.000,00","1.900,00",L
2,18,"980,00","115,00","112.700,00","3.000,00",L
3,4,"921,00","115,00","105.915,00","3.000,00",L
3,5,"948,00","115,00","109.020,00","3.000,00",L
3,18,"1.258,00","99,00","124.542,00","3.000,00",L
3,28,"601,00","70,00","42.070,00","1.900,00",L
3,29,"601,00","70,00","42.070,00","1.900,00",L
3,33,"603,00","70,00","42.210,00","1.900,00",L
3,34,"604,00","70,00","42.280,00","1.900,00",L
4,5,"400,00","74,98","29.990,00","1.900,00",L
4,6,"400,00","74,98","29.990,00","1.900,00",L
4,11,"400,00","74,98","29.990,00","1.900,00",L
4,12,"400,00","74,98","29.990,00","1.900,00",L
4,13,"400,00","74,98","29.990,00","1.900,00",L
4,14,"400,00","74,98","29.990,00","1.900,00",L
4,15,"400,00","74,98","29.990,00","1.900,00",L
4,16,"400,00","74,98","29.990,00","1.900,00",L
4,17,"400,00","74,98","29.990,00","1.900,00",L
4,18,"400,00","74,98","29.990,00","1.900,00",L
4,21,"400,00","74,98","29.990,00","1.900,00",L
4,22,"400,00","74,98","29.990,00","1.900,00",L
4,23,"400,00","74,98","29.990,00","1.900,00",L
4,24,"400,00","74,98","29.990,00","1.900,00",L
5,5,"400,00","74,98","29.990,00","1.900,00",L
5,8,"400,00","74,98","29.990,00","1.900,00",L
5,14,"342,00","110,00","37.620,00","1.900,00",L
5,15,"341,00","110,00","37.510,00","1.900,00",L
5,16,"341,00","110,00","37.510,00","1.900,00",L
5,17,"340,00","110,00","37.400,00","1.900,00",L
5,18,"400,00","74,98","29.990,00","1.900,00",L
5,19,"400,00","74,98","29.990,00","1.900,00",L
5,21,"400,00","74,98","29.990,00","1.900,00",L
5,22,"400,00","74,98","29.990,00","1.900,00",L
5,23,"400,00","74,98","29.990,00","1.900,00",L
5,24,"400,00","74,98","29.990,00","1.900,00",L
5,25,"400,00","74,98","29.990,00","1.900,00",L
6,3,"350,00","77,11","26.990,00","1.900,00",L
6,4,"350,00","77,11","26.990,00","1.900,00",L
6,5,"350,00","77,11","26.990,00","1.900,00",L
6,6,"350,00","77,11","26.990,00","1.900,00",L
6,7,"350,00","77,11","26.990,00","1.900,00",L
6,8,"350,00","77,11","26.990,00","1.900,00",L
6,11,"400,00","74,98","29.990,00","1.900,00",L
6,12,"400,00","74,98","29.990,00","1.900,00",L
6,13,"400,00","74,98","29.990,00","1.900,00",L
6,14,"400,00","74,98","29.990,00","1.900,00",L
6,15,"400,00","74,98","29.990,00","1.900,00",L
6,16,"350,00","77,11","26.990,00","1.900,00",L
6,17,"350,00","77,11","26.990,00","1.900,00",L
6,18,"350,00","77,11","26.990,00","1.900,00",L
6,19,"350,00","77,11","26.990,00","1.900,00",L
6,20,"350,00","77,11","26.990,00","1.900,00",L
6,21,"350,00","77,11","26.990,00","1.900,00",L
6,22,"350,00","77,11","26.990,00","1.900,00",L
6,23,"350,00","77,11","26.990,00","1.900,00",L
7,1,"350,00","77,11","26.990,00","1.900,00",L
7,2,"350,00","77,11","26.990,00","1.900,00",L
7,3,"350,00","77,11","26.990,00","1.900,00",L
7,4,"350,00","77,11","26.990,00","1.900,00",L
7,5,"350,00","77,11","26.990,00","1.900,00",L
7,6,"350,00","77,11","26.990,00","1.900,00",L
7,7,"350,00","77,11","26.990,00","1.900,00",L
7,12,"338,00","110,00","37.180,00","1.900,00",L
7,13,"337,00","110,00","37.070,00","1.900,00",L
7,14,"337,00","110,00","37.070,00","1.900,00",L
7,15,"336,00","110,00","36.960,00","1.900,00",L
7,17,"350,00","77,11","26.990,00","1.900,00",L
7,18,"350,00","77,11","26.990,00","1.900,00",L
7,19,"350,00","77,11","26.990,00","1.900,00",L
7,20,"350,00","77,11","26.990,00","1.900,00",L
7,21,"350,00","77,11","26.990,00","1.900,00",L
7,24,"350,00","77,11","26.990,00","1.900,00",L
7,25,"350,00","77,11","26.990,00","1.900,00",L
8,3,"400,00","74,98","29.990,00","1.900,00",L
8,4,"400,00","74,98","29.990,00","1.900,00",L
8,5,"400,00","74,98","29.990,00","1.900,00",L
8,6,"400,00","74,98","29.990,00","1.900,00",L
8,9,"400,00","74,98","29.990,00","1.900,00",L
8,10,"400,00","74,98","29.990,00","1.900,00",L
8,11,"400,00","74,98","29.990,00","1.900,00",L
8,12,"400,00","74,98","29.990,00","1.900,00",L
8,13,"400,00","74,98","29.990,00","1.900,00",L
8,14,"400,00","74,98","29.990,00","1.900,00",L
8,15,"400,00","74,98","29.990,00","1.900,00",L
8,16,"400,00","74,98","29.990,00","1.900,00",L
8,17,"400,00","74,98","29.990,00","1.900,00",L
8,18,"400,00","74,98","29.990,00","1.900,00",L
8,19,"400,00","74,98","29.990,00","1.900,00",L
8,20,"400,00","74,98","29.990,00","1.900,00",L
8,21,"400,00","74,98","29.990,00","1.900,00",L
8,22,"400,00","74,98","29.990,00","1.900,00",L
8,23,"400,00","74,98","29.990,00","1.900,00",L
8,24,"400,00","74,98","29.990,00","1.900,00",L
9,3,"400,00","74,98","29.990,00","1.900,00",L
9,4,"400,00","74,98","29.990,00","1.900,00",L
9,5,"400,00","74,98","29.990,00","1.900,00",L
9,6,"400,00","74,98","29.990,00","1.900,00",L
9,7,"400,00","74,98","29.990,00","1.900,00",L
9,8,"400,00","74,98","29.990,00","1.900,00",L
9,9,"400,00","74,98","29.990,00","1.900,00",L
9,13,"332,00","110,00","36.520,00","1.900,00",L
9,14,"332,00","110,00","36.520,00","1.900,00",L
9,15,"331,00","110,00","36.410,00","1.900,00",L
9,16,"331,00","110,00","36.410,00","1.900,00",L
9,17,"330,00","110,00","36.300,00","1.900,00",L
9,18,"400,00","74,98","29.990,00","1.900,00",L
9,19,"400,00","74,98","29.990,00","1.900,00",L
9,20,"400,00","74,98","29.990,00","1.900,00",L
9,21,"400,00","74,98","29.990,00","1.900,00",L
9,26,"400,00","74,98","29.990,00","1.900,00",L
10,5,"350,00","56,86","19.900,00","1.900,00",L
10,6,"350,00","77,11","26.990,00","1.900,00",L
10,7,"350,00","77,11","26.990,00","1.900,00",L
10,8,"350,00","56,86","19.900,00","1.900,00",L
10,9,"350,00","77,11","26.990,00","1.900,00",L
10,10,"350,00","77,11","26.990,00","1.900,00",L
10,11,"350,00","77,11","26.990,00","1.900,00",L
10,12,"350,00","77,11","26.990,00","1.900,00",L
10,13,"350,00","77,11","26.990,00","1.900,00",L
10,14,"350,00","77,11","26.990,00","1.900,00",L
10,15,"350,00","77,11","26.990,00","1.900,00",L
10,21,"350,00","56,86","19.900,00","1.900,00",L
10,22,"350,00","77,11","26.990,00","1.900,00",L
11,1,"350,00","77,11","26.990,00","1.900,00",L
11,2,"350,00","77,11","26.990,00","1.900,00",L
11,3,"350,00","77,11","26.990,00","1.900,00",L
11,7,"350,00","77,11","26.990,00","1.900,00",L
11,8,"350,00","77,11","26.990,00","1.900,00",L
11,9,"350,00","77,11","26.990,00","1.900,00",L
11,10,"329,00","110,00","36.190,00","1.900,00",L
11,11,"328,00","110,00","36.080,00","1.900,00",L
11,12,"328,00","110,00","36.080,00","1.900,00",L
11,13,"327,00","110,00","35.970,00","1.900,00",L
11,14,"326,00","110,00","35.860,00","1.900,00",L
11,15,"326,00","110,00","35.860,00","1.900,00",L
11,16,"325,00","110,00","35.750,00","1.900,00",L
11,17,"350,00","77,11","26.990,00","1.900,00",L
11,18,"350,00","77,11","26.990,00","1.900,00",L
11,19,"350,00","77,11","26.990,00","1.900,00",L
11,20,"350,00","77,11","26.990,00","1.900,00",L
11,23,"350,00","77,11","26.990,00","1.900,00",L
12,1,"400,00","69,98","27.990,00","1.900,00",L
12,2,"400,00","69,98","27.990,00","1.900,00",L
12,3,"400,00","69,98","27.990,00","1.900,00",L
12,4,"400,00","69,98","27.990,00","1.900,00",L
12,5,"400,00","69,98","27.990,00","1.900,00",L
12,6,"400,00","69,98","27.990,00","1.900,00",L
12,7,"400,00","69,98","27.990,00","1.900,00",L
12,8,"400,00","69,98","27.990,00","1.900,00",L
12,9,"400,00","69,98","27.990,00","1.900,00",L
12,10,"400,00","69,98","27.990,00","1.900,00",L
12,11,"400,00","69,98","27.990,00","1.900,00",L
12,12,"400,00","69,98","27.990,00","1.900,00",L
12,13,"400,00","69,98","27.990,00","1.900,00",L
12,14,"400,00","69,98","27.990,00","1.900,00",L
12,15,"400,00","69,98","27.990,00","1.900,00",L
12,16,"400,00","69,98","27.990,00","1.900,00",L
12,17,"400,00","69,98","27.990,00","1.900,00",L
12,18,"400,00","69,98","27.990,00","1.900,00",L
12,19,"400,00","69,98","27.990,00","1.900,00",L
12,20,"400,00","69,98","27.990,00","1.900,00",L
12,21,"400,00","69,98","27.990,00","1.900,00",L
12,22,"400,00","69,98","27.990,00","1.900,00",L
12,23,"400,00","69,98","27.990,00","1.900,00",L
12,24,"400,00","69,98","27.990,00","1.900,00",L
13,2,"400,00","74,98","29.990,00","1.900,00",L
13,3,"400,00","74,98","29.990,00","1.900,00",L
13,4,"400,00","74,98","29.990,00","1.900,00",L
13,5,"400,00","74,98","29.990,00","1.900,00",L
13,6,"400,00","74,98","29.990,00","1.900,00",L
13,7,"400,00","74,98","29.990,00","1.900,00",L
13,8,"400,00","74,98","29.990,00","1.900,00",L
13,9,"400,00","74,98","29.990,00","1.900,00",L
13,10,"374,00","110,00","41.140,00","1.900,00",L
13,11,"373,00","110,00","41.030,00","1.900,00",L
13,12,"373,00","110,00","41.030,00","1.900,00",L
13,13,"373,00","110,00","41.030,00","1.900,00",L
13,14,"372,00","110,00","40.920,00","1.900,00",L
13,15,"372,00","110,00","40.920,00","1.900,00",L
13,16,"371,00","110,00","40.810,00","1.900,00",L
13,17,"371,00","110,00","40.810,00","1.900,00",L
13,18,"400,00","74,98","29.990,00","1.900,00",L
13,19,"400,00","74,98","29.990,00","1.900,00",L
13,20,"400,00","74,98","29.990,00","1.900,00",L
13,21,"400,00","74,98","29.990,00","1.900,00",L
13,22,"400,00","74,98","29.990,00","1.900,00",L
13,23,"400,00","74,98","29.990,00","1.900,00",L
13,24,"400,00","74,98","29.990,00","1.900,00",L
13,25,"400,00","74,98","29.990,00","1.900,00",L
13,26,"400,00","74,98","29.990,00","1.900,00",L
14,4,"350,00","77,11","26.990,00","1.900,00",L
14,5,"350,00","56,86","19.900,00","1.900,00",L
14,6,"350,00","77,11","26.990,00","1.900,00",L
14,8,"350,00","77,11","26.990,00","1.900,00",L
14,9,"400,00","74,98","29.990,00","1.900,00",L
14,10,"400,00","74,98","29.990,00","1.900,00",L
14,11,"400,00","74,98","29.990,00","1.900,00",L
14,12,"400,00","74,98","29.990,00","1.900,00",L
14,13,"400,00","74,98","29.990,00","1.900,00",L
14,14,"400,00","74,98","29.990,00","1.900,00",L
14,15,"400,00","74,98","29.990,00","1.900,00",L
14,16,"350,00","56,86","19.900,00","1.900,00",L
14,17,"350,00","77,11","26.990,00","1.900,00",L
14,18,"350,00","56,86","19.900,00","1.900,00",L
14,19,"350,00","77,11","26.990,00","1.900,00",L
14,20,"350,00","56,86","19.900,00","1.900,00",L
14,21,"350,00","77,11","26.990,00","1.900,00",L
14,22,"350,00","56,86","19.900,00","1.900,00",L
14,23,"350,00","56,86","19.900,00","1.900,00",L
15,1,"350,00","71,40","24.990,00","1.900,00",L
15,2,"350,00","71,40","24.990,00","1.900,00",L
15,3,"350,00","71,40","24.990,00","1.900,00",L
15,4,"350,00","56,86","19.900,00","1.900,00",L
15,5,"350,00","71,40","24.990,00","1.900,00",L
15,6,"350,00","71,40","24.990,00","1.900,00",L
15,7,"350,00","71,40","24.990,00","1.900,00",L
15,8,"350,00","71,40","24.990,00","1.900,00",L
15,9,"350,00","71,40","24.990,00","1.900,00",L
15,10,"339,00","95,00","32.205,00","1.900,00",L
15,11,"338,00","95,00","32.110,00","1.900,00",L
15,12,"338,00","95,00","32.110,00","1.900,00",L
15,13,"337,00","95,00","32.015,00","1.900,00",L
15,14,"337,00","95,00","32.015,00","1.900,00",L
15,15,"336,00","95,00","31.920,00","1.900,00",L
15,16,"335,00","95,00","31.825,00","1.900,00",L
15,17,"350,00","71,40","24.990,00","1.900,00",L
15,18,"350,00","71,40","24.990,00","1.900,00",L
15,19,"350,00","71,40","24.990,00","1.900,00",L
15,20,"350,00","71,40","24.990,00","1.900,00",L
15,21,"350,00","71,40","24.990,00","1.900,00",L
15,22,"350,00","71,40","24.990,00","1.900,00",L
15,23,"350,00","71,40","24.990,00","1.900,00",L
15,24,"350,00","56,86","19.900,00","1.900,00",L
15,25,"350,00","71,40","24.990,00","1.900,00",L
16,1,"400,00","74,98","29.990,00","1.900,00",L
16,2,"400,00","74,98","29.990,00","1.900,00",L
16,3,"400,00","74,98","29.990,00","1.900,00",L
16,4,"400,00","74,98","29.990,00","1.900,00",L
16,5,"400,00","74,98","29.990,00","1.900,00",L
16,6,"400,00","74,98","29.990,00","1.900,00",L
16,7,"400,00","74,98","29.990,00","1.900,00",L
16,8,"400,00","74,98","29.990,00","1.900,00",L
16,9,"400,00","74,98","29.990,00","1.900,00",L
16,10,"400,00","74,98","29.990,00","1.900,00",L
16,11,"400,00","74,98","29.990,00","1.900,00",L
16,12,"400,00","74,98","29.990,00","1.900,00",L
16,13,"400,00","74,98","29.990,00","1.900,00",L
16,14,"400,00","74,98","29.990,00","1.900,00",L
16,15,"400,00","74,98","29.990,00","1.900,00",L
16,16,"400,00","74,98","29.990,00","1.900,00",L
16,17,"400,00","74,98","29.990,00","1.900,00",L
16,18,"400,00","74,98","29.990,00","1.900,00",L
16,19,"400,00","74,98","29.990,00","1.900,00",L
16,20,"400,00","74,98","29.990,00","1.900,00",L
16,21,"400,00","74,98","29.990,00","1.900,00",L
16,22,"400,00","74,98","29.990,00","1.900,00",L
16,23,"400,00","74,98","29.990,00","1.900,00",L
16,24,"400,00","74,98","29.990,00","1.900,00",L
17,1,"400,00","74,98","29.990,00","1.900,00",L
17,2,"400,00","74,98","29.990,00","1.900,00",L
17,3,"400,00","74,98","29.990,00","1.900,00",L
17,4,"400,00","74,98","29.990,00","1.900,00",L
17,5,"400,00","74,98","29.990,00","1.900,00",L
17,6,"400,00","74,98","29.990,00","1.900,00",L
17,7,"400,00","74,98","29.990,00","1.900,00",L
17,8,"400,00","74,98","29.990,00","1.900,00",L
17,9,"400,00","74,98","29.990,00","1.900,00",L
17,10,"366,00","95,00","34.770,00","1.900,00",L
17,11,"365,00","95,00","34.675,00","1.900,00",L
17,12,"365,00","95,00","34.675,00","1.900,00",L
17,13,"364,00","95,00","34.580,00","1.900,00",L
17,14,"364,00","95,00","34.580,00","1.900,00",L
17,15,"363,00","95,00","34.485,00","1.900,00",L
17,16,"363,00","95,00","34.485,00","1.900,00",L
17,17,"362,00","95,00","34.390,00","1.900,00",L
17,18,"400,00","74,98","29.990,00","1.900,00",L
17,19,"400,00","74,98","29.990,00","1.900,00",L
17,20,"400,00","74,98","29.990,00","1.900,00",L
17,21,"400,00","74,98","29.990,00","1.900,00",L
17,22,"400,00","74,98","29.990,00","1.900,00",L
17,23,"400,00","74,98","29.990,00","1.900,00",L
17,24,"400,00","74,98","29.990,00","1.900,00",L
17,25,"400,00","74,98","29.990,00","1.900,00",L
17,26,"400,00","74,98","29.990,00","1.900,00",L
18,1,"350,00","71,40","24.990,00","1.900,00",L
18,2,"350,00","71,40","24.990,00","1.900,00",L
18,3,"350,00","71,40","24.990,00","1.900,00",L
18,4,"350,00","71,40","24.990,00","1.900,00",L
18,5,"350,00","71,40","24.990,00","1.900,00",L
18,6,"350,00","71,40","24.990,00","1.900,00",L
18,7,"350,00","71,40","24.990,00","1.900,00",L
18,8,"350,00","71,40","24.990,00","1.900,00",L
18,9,"400,00","74,98","29.990,00","1.900,00",L
18,10,"400,00","74,98","29.990,00","1.900,00",L
18,11,"400,00","74,98","29.990,00","1.900,00",L
18,12,"400,00","74,98","29.990,00","1.900,00",L
18,13,"400,00","74,98","29.990,00","1.900,00",L
18,14,"400,00","74,98","29.990,00","1.900,00",L
18,15,"400,00","74,98","29.990,00","1.900,00",L
18,16,"350,00","71,40","24.990,00","1.900,00",L
18,17,"350,00","71,40","24.990,00","1.900,00",L
18,18,"350,00","71,40","24.990,00","1.900,00",L
18,19,"350,00","71,40","24.990,00","1.900,00",L
18,20,"350,00","71,40","24.990,00","1.900,00",L
18,21,"350,00","71,40","24.990,00","1.900,00",L
18,22,"350,00","71,40","24.990,00","1.900,00",L
18,23,"350,00","71,40","24.990,00","1.900,00",L
19,1,"350,00","71,40","24.990,00","1.900,00",L
19,2,"350,00","71,40","24.990,00","1.900,00",L
19,3,"350,00","71,40","24.990,00","1.900,00",L
19,4,"350,00","71,40","24.990,00","1.900,00",L
19,5,"350,00","71,40","24.990,00","1.900,00",L
19,6,"350,00","71,40","24.990,00","1.900,00",L
19,7,"350,00","71,40","24.990,00","1.900,00",L
19,8,"350,00","71,40","24.990,00","1.900,00",L
19,9,"350,00","71,40","24.990,00","1.900,00",L
19,10,"361,00","95,00","34.295,00","1.900,00",L
19,11,"361,00","95,00","34.295,00","1.900,00",L
19,12,"360,00","95,00","34.200,00","1.900,00",L
19,13,"360,00","95,00","34.200,00","1.900,00",L
19,14,"359,00","95,00","34.105,00","1.900,00",L
19,15,"359,00","95,00","34.105,00","1.900,00",L
19,16,"358,00","95,00","34.010,00","1.900,00",L
19,17,"350,00","71,40","24.990,00","1.900,00",L
19,18,"350,00","71,40","24.990,00","1.900,00",L
19,19,"350,00","71,40","24.990,00","1.900,00",L
19,20,"350,00","71,40","24.990,00","1.900,00",L
19,21,"350,00","71,40","24.990,00","1.900,00",L
19,22,"350,00","71,40","24.990,00","1.900,00",L
19,23,"350,00","71,40","24.990,00","1.900,00",L
19,24,"350,00","71,40","24.990,00","1.900,00",L
19,25,"350,00","71,40","24.990,00","1.900,00",L
20,1,"400,00","74,98","29.990,00","1.900,00",L
20,2,"400,00","74,98","29.990,00","1.900,00",L
20,3,"400,00","74,98","29.990,00","1.900,00",L
20,5,"400,00","74,98","29.990,00","1.900,00",L
20,6,"400,00","74,98","29.990,00","1.900,00",L
20,7,"400,00","74,98","29.990,00","1.900,00",L
20,8,"400,00","74,98","29.990,00","1.900,00",L
20,9,"400,00","74,98","29.990,00","1.900,00",L
20,10,"400,00","74,98","29.990,00","1.900,00",L
20,11,"400,00","74,98","29.990,00","1.900,00",L
20,12,"400,00","74,98","29.990,00","1.900,00",L
20,13,"400,00","74,98","29.990,00","1.900,00",L
20,14,"400,00","74,98","29.990,00","1.900,00",L
20,15,"400,00","74,98","29.990,00","1.900,00",L
20,16,"400,00","74,98","29.990,00","1.900,00",L
20,17,"400,00","74,98","29.990,00","1.900,00",L
20,18,"400,00","74,98","29.990,00","1.900,00",L
20,19,"400,00","74,98","29.990,00","1.900,00",L
20,20,"400,00","74,98","29.990,00","1.900,00",L
20,21,"400,00","74,98","29.990,00","1.900,00",L
20,22,"400,00","74,98","29.990,00","1.900,00",L
20,23,"400,00","74,98","29.990,00","1.900,00",L
20,24,"400,00","74,98","29.990,00","1.900,00",L
21,1,"400,00","74,98","29.990,00","1.900,00",L
21,2,"400,00","74,98","29.990,00","1.900,00",L
21,3,"400,00","74,98","29.990,00","1.900,00",L
21,4,"400,00","74,98","29.990,00","1.900,00",L
21,5,"400,00","74,98","29.990,00","1.900,00",L
21,6,"400,00","74,98","29.990,00","1.900,00",L
21,7,"400,00","74,98","29.990,00","1.900,00",L
21,8,"400,00","74,98","29.990,00","1.900,00",L
21,9,"400,00","74,98","29.990,00","1.900,00",L
21,10,"358,00","90,00","32.220,00","1.900,00",L
21,11,"357,00","90,00","32.130,00","1.900,00",L
21,12,"357,00","90,00","32.130,00","1.900,00",L
21,13,"356,00","90,00","32.040,00","1.900,00",L
21,14,"356,00","90,00","32.040,00","1.900,00",L
21,15,"355,00","90,00","31.950,00","1.900,00",L
21,16,"355,00","90,00","31.950,00","1.900,00",L
21,17,"354,00","90,00","31.860,00","1.900,00",L
21,18,"400,00","74,98","29.990,00","1.900,00",L
21,19,"400,00","74,98","29.990,00","1.900,00",L
21,20,"400,00","74,98","29.990,00","1.900,00",L
21,21,"400,00","74,98","29.990,00","1.900,00",L
21,22,"400,00","74,98","29.990,00","1.900,00",L
21,23,"400,00","74,98","29.990,00","1.900,00",L
21,24,"400,00","74,98","29.990,00","1.900,00",L
21,25,"400,00","74,98","29.990,00","1.900,00",L
21,26,"400,00","74,98","29.990,00","1.900,00",L
1,10,"478,56","115,00","55.034,40","1.900,00",R
1,9,"400,00","115,00","46.000,00","1.900,00",R
2,11,"783,00","115,00","90.045,00","3.000,00",R
3,7,"911,00","115,00","104.765,00","3.000,00",R
3,8,"919,00","115,00","105.685,00","3.000,00",R
3,11,"1.059,00","115,00","121.785,00","3.000,00",R
3,12,"1.108,00","115,00","127.420,00","3.000,00",R
3,13,"1.141,00","115,00","131.215,00","3.000,00",R
3,14,"1.145,00","115,00","131.675,00","3.000,00",R
3,26,"600,00","70,00","42.000,00","1.900,00",R
3,38,"645,00","115,00","74.175,00","3.000,00",R
4,20,"400,00","74,98","29.990,00","1.900,00",R
5,7,"400,00","74,98","29.990,00","1.900,00",R
5,20,"400,00","74,98","29.990,00","1.900,00",R
5,26,"400,00","74,98","29.990,00","1.900,00",R
10,23,"350,00","56,86","19.900,00","1.900,00",R
13,1,"400,00","74,98","29.990,00","1.900,00",R
20,4,"400,00","74,98","29.990,00","1.900,00",R
1,2,"400,00","115,00","46.000,00","1.900,00",V
1,5,"400,00","115,00","46.000,00","1.900,00",V
1,6,"400,00","115,00","46.000,00","1.900,00",V
2,9,"794,00","115,00","91.310,00","3.000,00",V
2,10,"672,00","115,00","77.280,00","3.000,00",V
2,14,"705,00","115,00","81.075,00","3.000,00",V
2,15,"717,00","115,00","82.455,00","3.000,00",V
2,17,"887,00","115,00","102.005,00","3.000,00",V
3,21,"597,00","70,00","41.790,00","1.900,00",V
3,22,"598,00","70,00","41.860,00","1.900,00",V
3,23,"598,00","70,00","41.860,00","1.900,00",V
3,24,"599,00","70,00","41.930,00","1.900,00",V
3,25,"599,00","70,00","41.930,00","1.900,00",V
3,37,"642,00","115,00","73.830,00","3.000,00",V
3,41,"337,00","115,00","38.755,00","3.000,00",V
3,42,"487,00","115,00","56.005,00","3.000,00",V
4,7,"400,00","74,98","29.990,00","1.900,00",V
4,8,"400,00","74,98","29.990,00","1.900,00",V
4,19,"400,00","74,98","29.990,00","1.900,00",V
5,6,"400,00","74,98","29.990,00","1.900,00",V
5,9,"400,00","74,98","29.990,00","1.900,00",V
5,10,"344,00","110,00","37.840,00","1.900,00",V
5,11,"344,00","110,00","37.840,00","1.900,00",V
5,12,"343,00","110,00","37.730,00","1.900,00",V
5,13,"343,00","110,00","37.730,00","1.900,00",V
7,16,"335,00","110,00","36.850,00","1.900,00",V
9,22,"400,00","74,98","29.990,00","1.900,00",V
9,23,"400,00","74,98","29.990,00","1.900,00",V
9,24,"400,00","74,98","29.990,00","1.900,00",V
9,25,"400,00","74,98","29.990,00","1.900,00",V
10,1,"350,00","56,86","19.900,00","1.900,00",V
10,2,"350,00","56,86","19.900,00","1.900,00",V
10,3,"350,00","77,11","26.990,00","1.900,00",V
10,4,"350,00","56,86","19.900,00","1.900,00",V
11,6,"350,00","56,86","19.900,00","1.900,00",V
11,24,"350,00","77,11","26.990,00","1.900,00",V
11,25,"350,00","77,11","26.990,00","1.900,00",V
14,1,"350,00","56,86","19.900,00","1.900,00",V
14,2,"350,00","77,11","26.990,00","1.900,00",V
14,3,"350,00","56,86","19.900,00","1.900,00",V
14,7,"350,00","56,86","19.900,00","1.900,00",V